#{"t_start": 1742503441.666784, "env_id": "None"}
r,l,t
-70.0,39,7.249689
-15.0,11,7.251253
-20.0,22,7.254445
-85.0,8,7.255588
-265.0,59,7.26371
-145.0,60,7.271744
-100.0,36,7.27656
-150.0,16,7.278645
-100.0,11,7.280082
10.0,7,7.28102
-145.0,26,7.284396
15.0,5,7.285083
-265.0,44,7.290851
-95.0,55,7.297971
-5.0,10,7.29929
-90.0,7,7.300216
-125.0,18,7.302555
15.0,8,7.303637
-25.0,12,7.305213
-50.0,22,7.308088
5.0,6,7.3089
-10.0,21,7.312121
-100.0,8,7.31324
-90.0,7,7.314218
-170.0,33,7.318693
-255.0,79,7.328886
-10.0,15,7.33093
-10.0,9,7.332196
-110.0,9,7.333418
-125.0,9,7.334637
-730.0,200,7.624143
-95.0,6,7.625072
-10.0,12,7.62682
-110.0,15,7.628941
-85.0,8,7.630091
15.0,8,7.631252
-75.0,7,7.632256
-20.0,19,7.634915
15.0,5,7.635649
-15.0,11,7.637208
5.0,6,7.638079
-10.0,15,7.640184
-5.0,7,7.641191
-10.0,9,7.642474
5.0,6,7.643496
35.0,6,7.644571
-90.0,7,7.645886
-115.0,8,7.647096
85.0,26,7.65074
-95.0,9,7.652091
35.0,9,7.653536
-80.0,6,7.654426
-95.0,6,7.655309
-15.0,14,7.657301
15.0,8,7.658435
-135.0,25,7.661914
-80.0,6,7.662772
-30.0,35,7.668171
-80.0,6,7.669084
-75.0,7,7.670086
-95.0,9,7.671348
-45.0,32,7.675716
5.0,15,7.677879
-115.0,8,7.679102
-120.0,10,7.680602
-95.0,6,7.681593
10.0,7,7.682678
-15.0,11,7.684489
-85.0,11,7.687104
-415.0,180,7.712632
-35.0,19,7.715403
-30.0,26,7.719029
-105.0,7,7.720129
-10.0,9,7.722063
-40.0,21,7.725239
-15.0,17,7.727911
0.0,8,7.729074
-195.0,52,7.737051
-180.0,37,7.74222
25.0,13,7.744066
0.0,17,7.746766
-15.0,17,7.749274
15.0,8,7.750464
-10.0,21,7.753418
-95.0,9,7.754698
-80.0,6,7.755573
-205.0,47,7.762288
-85.0,8,7.76345
-115.0,20,7.766202
-100.0,11,7.767716
-125.0,55,7.775703
-90.0,7,7.776777
10.0,10,7.778324
-5.0,19,7.781333
10.0,7,7.782443
25.0,7,7.783483
20.0,9,7.784799
-10.0,9,7.786079
5.0,9,7.78742
-120.0,22,7.79058
-15.0,23,7.793813
10.0,10,7.795328
-95.0,6,7.796281
-90.0,10,7.797726
-95.0,58,7.806781
10.0,7,7.807794
-85.0,42,7.813663
-100.0,8,7.814812
-10.0,9,7.816092
-95.0,9,7.817362
130.0,14,7.819294
5.0,9,7.82055
85.0,17,7.822874
-115.0,17,7.825357
10.0,10,7.826781
-125.0,18,7.82926
-5.0,7,7.830258
20.0,6,7.831112
25.0,7,7.83208
30.0,14,7.833976
-5.0,7,7.834949
0.0,11,7.836465
-95.0,9,7.837701
-15.0,17,7.840157
-95.0,6,7.841028
30.0,5,7.841736
-85.0,11,7.843208
-135.0,10,7.844545
-5.0,13,7.846265
0.0,8,7.847456
-10.0,9,7.848666
-95.0,6,7.849483
-70.0,5,7.850167
-10.0,12,7.851855
-5.0,7,7.852827
20.0,6,7.853656
-120.0,13,7.855387
15.0,17,7.857626
120.0,6,7.858598
-55.0,45,7.864491
0.0,11,7.865966
-140.0,64,7.874269
-85.0,8,7.875336
-105.0,7,7.876266
15.0,8,7.877337
-85.0,5,7.878013
-70.0,39,7.883043
5.0,9,7.884255
-5.0,10,7.885586
-85.0,8,7.886657
110.0,10,7.887996
5.0,12,7.889577
10.0,7,7.890523
-10.0,24,7.893651
-70.0,5,7.894327
20.0,6,7.895142
-80.0,6,7.895944
-25.0,15,7.897922
5.0,6,7.89874
-90.0,7,7.89967
5.0,6,7.900484
-85.0,11,7.90193
15.0,5,7.902617
-20.0,13,7.904323
-75.0,38,7.909257
-40.0,27,7.912785
-160.0,32,7.916941
5.0,9,7.918159
15.0,5,7.918844
-15.0,17,7.921068
15.0,17,7.923305
-5.0,16,7.925589
-105.0,10,7.926989
-90.0,7,7.927993
-85.0,11,7.929485
-80.0,6,7.930314
-90.0,10,7.931677
5.0,6,7.932536
-110.0,9,7.933755
-15.0,14,7.935668
-75.0,4,7.936231
-115.0,20,7.939111
15.0,5,7.939827
-95.0,15,7.941828
-205.0,56,8.214978
-100.0,11,8.216649
20.0,6,8.217558
-60.0,32,8.222081
-130.0,29,8.226129
-100.0,11,8.227673
-125.0,24,8.231001
-25.0,18,8.233525
-15.0,11,8.235089
30.0,8,8.236236
10.0,7,8.237252
-25.0,25,8.240994
-15.0,11,8.242705
5.0,9,8.244012
5.0,15,8.246102
15.0,8,8.247255
20.0,12,8.249045
10.0,16,8.251339
15.0,23,8.254569
-15.0,11,8.25613
-95.0,15,8.258229
-10.0,15,8.260322
-85.0,5,8.261034
5.0,12,8.262824
5.0,6,8.263824
15.0,12,8.265521
-105.0,10,8.266912
-140.0,21,8.269754
20.0,9,8.271016
-10.0,9,8.272258
-5.0,7,8.27323
-80.0,9,8.274528
-40.0,21,8.277468
-10.0,12,8.279148
-40.0,27,8.282874
15.0,5,8.283607
-155.0,24,8.286927
-10.0,9,8.288204
5.0,6,8.2891
-25.0,21,8.292154
-15.0,14,8.294109
-30.0,17,8.296478
-90.0,10,8.298069
0.0,8,8.299235
10.0,7,8.300232
5.0,6,8.301083
40.0,10,8.302487
-10.0,9,8.303849
-5.0,7,8.30488
-25.0,21,8.307856
-105.0,16,8.31027
-105.0,7,8.311281
-25.0,15,8.313384
-130.0,17,8.315724
-115.0,20,8.318443
20.0,6,8.319304
5.0,9,8.320556
-95.0,9,8.321799
-85.0,8,8.322909
-15.0,11,8.324497
-85.0,11,8.326003
-165.0,34,8.330655
-70.0,5,8.331481
-35.0,22,8.334576
-110.0,12,8.336233
-175.0,23,8.339329
-95.0,6,8.340168
-20.0,19,8.342847
-35.0,25,8.346218
-10.0,15,8.348268
-110.0,21,8.351091
10.0,7,8.352105
-105.0,13,8.353872
0.0,8,8.355008
-85.0,11,8.357422
5.0,6,8.359471
-95.0,9,8.361239
-80.0,6,8.362119
-10.0,12,8.363928
-30.0,20,8.367628
15.0,5,8.368534
-5.0,13,8.370638
-5.0,10,8.372348
-45.0,29,8.376552
-5.0,7,8.37756
-105.0,7,8.378553
-20.0,19,8.381379
-100.0,17,8.383763
-25.0,9,8.385055
-5.0,7,8.386332
-55.0,33,8.391347
-145.0,23,8.394762
20.0,6,8.395649
-5.0,7,8.396645
-80.0,6,8.39748
-35.0,19,8.400118
5.0,6,8.400975
-100.0,8,8.402293
5.0,9,8.403575
-5.0,7,8.404566
-125.0,21,8.407492
-20.0,16,8.40986
10.0,7,8.410862
5.0,6,8.411713
-15.0,11,8.413213
